BHK,Total Area,Price,bedroom
1 BHK Apartment in Sector-8A Airoli,"650 sq.ft.
(60 sq.m.) Super built-up Area","₹ 90 L
₹ 13,846/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Roadpali,"1,100 sq.ft.
(102 sq.m.) Built-up Area","₹ 85 L
₹ 7,727/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector 40 Seawoods,"2,050 sq.ft.
(190 sq.m.) Built-up Area","₹ 2.5 Cr
₹ 12,195/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 20 Ulwe,"1,180 sq.ft.
(110 sq.m.) Built-up Area","₹ 1.18 Cr
₹ 10,000/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 20 Ulwe,"1,173 sq.ft.
(109 sq.m.) Built-up Area","₹ 96 L
₹ 8,184/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector 23 Ulwe,"1,655 sq.ft.
(154 sq.m.) Super built-up Area","₹ 1.55 Cr
₹ 9,365/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Sector-13 Kharghar,"550 sq.ft.
(51 sq.m.) Carpet Area","₹ 50 L
₹ 9,090/sq.ft.","1 BHK
2 Baths"
3 BHK Apartment in Sector 15 Kharghar,"1,980 sq.ft.
(184 sq.m.) Super built-up Area","₹ 1.8 Cr
₹ 9,090/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector 11 Kharghar,"1,635 sq.ft.
(152 sq.m.) Super built-up Area","₹ 2.55 Cr
₹ 15,596/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Koperkhairane,"1,050 sq.ft.
(98 sq.m.) Built-up Area","₹ 1.2 Cr
₹ 11,428/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 18 Kharghar,"1,200 sq.ft.
(111 sq.m.) Super built-up Area","₹ 88 L
₹ 7,333/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-34A Kharghar,"2,000 sq.ft.
(186 sq.m.) Super built-up Area","₹ 2.65 Cr
₹ 13,250/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector-35E Kharghar,"1,265 sq.ft.
(118 sq.m.) Super built-up Area","₹ 1.42 Cr
₹ 11,225/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-14 Koparkhairane,"1,500 sq.ft.
(139 sq.m.) Super built-up Area","₹ 1.8 Cr
₹ 12,000/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Sector 20 Kharghar,"600 sq.ft.
(56 sq.m.) Super built-up Area","₹ 62 L
₹ 10,333/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 20 Kharghar,"690 sq.ft.
(64 sq.m.) Built-up Area","₹ 78 L
₹ 11,304/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector 20 Kharghar,"1,395 sq.ft.
(130 sq.m.) Super built-up Area","₹ 1.75 Cr
₹ 12,544/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Kharghar,"880 sq.ft.
(82 sq.m.) Super built-up Area","₹ 85 L
₹ 9,659/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 3 Kharghar,"950 sq.ft.
(88 sq.m.) Super built-up Area","₹ 1.05 Cr
₹ 11,052/sq.ft.","2 BHK
2 Baths"
"2 BHK Apartment in Sector-36, Kharghar","675 sq.ft.
(63 sq.m.) Carpet Area","₹ 85 L
₹ 12,592/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 29 Nerul,"1,080 sq.ft.
(100 sq.m.) Super built-up Area","₹ 1.8 Cr
₹ 16,666/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 36 Kharghar,"370 sq.ft.
(34 sq.m.) Carpet Area","₹ 40 L
₹ 10,810/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 35I Kharghar,"665 sq.ft.
(62 sq.m.) Built-up Area","₹ 55 L
₹ 8,270/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 36 Kharghar,"310 sq.ft.
(29 sq.m.) Carpet Area","₹ 34 L
₹ 10,967/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector-36 KHARGHAR,"1,550 sq.ft.
(144 sq.m.) Built-up Area","₹ 1.55 Cr
₹ 10,000/sq.ft.","3 BHK
4 Baths"
3 BHK Apartment in Sector-17 Nerul,"1,800 sq.ft.
(167 sq.m.) Super built-up Area","₹ 1.68 Cr
₹ 9,333/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector-8A Airoli,"950 sq.ft.
(88 sq.m.) Super built-up Area","₹ 95 L
₹ 10,000/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Ghansoli,"960 sq.ft.
(89 sq.m.) Super built-up Area","₹ 1.02 Cr
₹ 10,625/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Ghansoli,"1,259 sq.ft.
(117 sq.m.) Super built-up Area","₹ 1.6 Cr
₹ 12,708/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Ghansoli,"1,400 sq.ft.
(130 sq.m.) Super built-up Area","₹ 2.05 Cr
₹ 14,642/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Sector 19 Kamothe,"690 sq.ft.
(64 sq.m.) Super built-up Area","₹ 57 L
₹ 8,260/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Roadpali,"685 sq.ft.
(64 sq.m.) Built-up Area","₹ 54 L
₹ 7,883/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Roadpali,"1,105 sq.ft.
(103 sq.m.) Built-up Area","₹ 65.5 L
₹ 5,927/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-20 Roadpali,"1,085 sq.ft.
(101 sq.m.) Built-up Area","₹ 87.5 L
₹ 8,064/sq.ft.","2 BHK
3 Baths"
2 BHK Apartment in Sector-20 Roadpali,"1,120 sq.ft.
(104 sq.m.) Super built-up Area","₹ 90.5 L
₹ 8,080/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Roadpali,"1,306 sq.ft.
(121 sq.m.) Built-up Area","₹ 87.25 L
₹ 6,680/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Roadpali,"1,130 sq.ft.
(105 sq.m.) Built-up Area","₹ 83.5 L
₹ 7,389/sq.ft.","2 BHK
2 Baths"
4 BHK Apartment in Sector-34A Kharghar,"3,205 sq.ft.
(298 sq.m.) Super built-up Area","₹ 3.6 Cr
₹ 11,232/sq.ft.","4 BHK
4 Baths"
2 BHK Apartment in Sector-50 Seawoods,"1,300 sq.ft.
(121 sq.m.) Super built-up Area","₹ 2.15 Cr
₹ 16,538/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 11 Kharghar,"1,450 sq.ft.
(135 sq.m.) Super built-up Area","₹ 1.75 Cr
₹ 12,068/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector 7 Kharghar,"1,335 sq.ft.
(124 sq.m.) Super built-up Area","₹ 1.9 Cr
₹ 14,232/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Seawoods,"1,290 sq.ft.
(120 sq.m.) Super built-up Area","₹ 1.75 Cr
₹ 13,565/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-50 Seawoods,"1,900 sq.ft.
(177 sq.m.) Super built-up Area","₹ 3.2 Cr
₹ 16,842/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector-35D Kharghar,"1,250 sq.ft.
(116 sq.m.) Super built-up Area","₹ 1.18 Cr
₹ 9,440/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-34A Kharghar,"1,810 sq.ft.
(168 sq.m.) Super built-up Area","₹ 1.99 Cr
₹ 10,994/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Kharghar,"1,100 sq.ft.
(102 sq.m.) Super built-up Area","₹ 95 L
₹ 8,636/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 36 Kharghar,"1,337 sq.ft.
(124 sq.m.) Super built-up Area","₹ 1.09 Cr
₹ 8,152/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"1,147 sq.ft.
(107 sq.m.) Super built-up Area","₹ 1.32 Cr
₹ 11,508/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-35D Kharghar,"1,850 sq.ft.
(172 sq.m.) Super built-up Area","₹ 1.9 Cr
₹ 10,270/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector-35D Kharghar,"1,300 sq.ft.
(121 sq.m.) Super built-up Area","₹ 1.15 Cr
₹ 8,846/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"1,290 sq.ft.
(120 sq.m.) Super built-up Area","₹ 1.9 Cr
₹ 14,728/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Kharghar,"2,050 sq.ft.
(190 sq.m.) Super built-up Area","₹ 3.16 Cr
₹ 15,414/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector 34C Kharghar,"1,615 sq.ft.
(150 sq.m.) Super built-up Area","₹ 1.75 Cr
₹ 10,835/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Taloja Panchanand,"690 sq.ft.
(64 sq.m.) Super built-up Area","₹ 49 L
₹ 7,101/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector-35D Kharghar,"1,775 sq.ft.
(165 sq.m.) Super built-up Area","₹ 1.82 Cr
₹ 10,253/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector 4 Kharghar,"1,600 sq.ft.
(149 sq.m.) Super built-up Area","₹ 1.85 Cr
₹ 11,562/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector 19 Kharghar,"2,472 sq.ft.
(230 sq.m.) Super built-up Area","₹ 2.75 Cr
₹ 11,124/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector-35D Kharghar,"1,680 sq.ft.
(156 sq.m.) Super built-up Area","₹ 1.5 Cr
₹ 8,096/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Taloja Panchanand,"1,125 sq.ft.
(105 sq.m.) Super built-up Area","₹ 76 L
₹ 6,755/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector 21 Kharghar,"1,650 sq.ft.
(153 sq.m.) Super built-up Area","₹ 1.75 Cr
₹ 10,606/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Sector 36 Kharghar,"660 sq.ft.
(61 sq.m.) Carpet Area","₹ 70 L
₹ 10,606/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 36 Kharghar,"1,175 sq.ft.
(109 sq.m.) Super built-up Area","₹ 1.1 Cr
₹ 9,361/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 35I Kharghar,"1,500 sq.ft.
(139 sq.m.) Super built-up Area","₹ 1.55 Cr
₹ 10,333/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector 7 Kharghar,"1,550 sq.ft.
(144 sq.m.) Super built-up Area","₹ 1.9 Cr
₹ 12,258/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector 36 Kharghar,"1,653 sq.ft.
(154 sq.m.) Super built-up Area","₹ 1.4 Cr
₹ 8,469/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Ranjanpada,"1,125 sq.ft.
(105 sq.m.) Super built-up Area","₹ 1 Cr
₹ 8,888/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-35G Kharghar,"950 sq.ft.
(88 sq.m.) Super built-up Area","₹ 93 L
₹ 9,789/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 10 Kharghar,"1,160 sq.ft.
(108 sq.m.) Super built-up Area","₹ 1.2 Cr
₹ 10,344/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 10 Kharghar,"1,050 sq.ft.
(98 sq.m.) Super built-up Area","₹ 96 L
₹ 9,142/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 10 Kharghar,"1,100 sq.ft.
(102 sq.m.) Super built-up Area","₹ 1.15 Cr
₹ 10,454/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"1,150 sq.ft.
(107 sq.m.) Super built-up Area","₹ 1.15 Cr
₹ 10,000/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"1,250 sq.ft.
(116 sq.m.) Super built-up Area","₹ 1.16 Cr
₹ 9,280/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 10 Kharghar,"1,150 sq.ft.
(107 sq.m.) Super built-up Area","₹ 1.2 Cr
₹ 10,434/sq.ft.","2 BHK
2 Baths"
4 BHK Apartment in Kharghar,"2,580 sq.ft.
(240 sq.m.) Super built-up Area","₹ 3.8 Cr
₹ 14,728/sq.ft.","4 BHK
4 Baths"
2 BHK Apartment in Sector 10 Kharghar,"1,188 sq.ft.
(110 sq.m.) Super built-up Area","₹ 1.25 Cr
₹ 10,521/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-6 Kharghar,"1,715 sq.ft.
(159 sq.m.) Super built-up Area","₹ 2.5 Cr
₹ 14,577/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 15 Kharghar,"1,170 sq.ft.
(109 sq.m.) Super built-up Area","₹ 1.3 Cr
₹ 11,111/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector 19 Kharghar,"1,700 sq.ft.
(158 sq.m.) Super built-up Area","₹ 1.95 Cr
₹ 11,470/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector-35D Kharghar,"1,710 sq.ft.
(159 sq.m.) Super built-up Area","₹ 1.8 Cr
₹ 10,526/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector-6 Kharghar,"1,800 sq.ft.
(167 sq.m.) Super built-up Area","₹ 2.1 Cr
₹ 11,666/sq.ft.","3 BHK
3 Baths"
4 BHK Apartment in Kharghar,"2,710 sq.ft.
(252 sq.m.) Super built-up Area","₹ 2.8 Cr
₹ 10,332/sq.ft.","4 BHK
4 Baths"
2 BHK Apartment in Kharghar,"568 sq.ft.
(53 sq.m.) Carpet Area","₹ 1.27 Cr
₹ 22,325/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector 2 Kharghar,"1,500 sq.ft.
(139 sq.m.) Super built-up Area","₹ 1.75 Cr
₹ 11,666/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 34C Kharghar,"1,250 sq.ft.
(116 sq.m.) Super built-up Area","₹ 1.32 Cr
₹ 10,560/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-35G Kharghar,"1,085 sq.ft.
(101 sq.m.) Super built-up Area","₹ 1.05 Cr
₹ 9,677/sq.ft.","2 BHK
2 Baths"
4 BHK Apartment in Sector 34C Kharghar,"2,330 sq.ft.
(216 sq.m.) Super built-up Area","₹ 1.81 Cr
₹ 7,768/sq.ft.","4 BHK
4 Baths"
3 BHK Apartment in Sector 15 Kharghar,"1,475 sq.ft.
(137 sq.m.) Super built-up Area","₹ 1.6 Cr
₹ 10,847/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 2 Kharghar,"1,245 sq.ft.
(116 sq.m.) Super built-up Area","₹ 1.4 Cr
₹ 11,244/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 35I Kharghar,"1,240 sq.ft.
(115 sq.m.) Super built-up Area","₹ 1.05 Cr
₹ 8,467/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-23 Kharghar,"1,800 sq.ft.
(167 sq.m.) Super built-up Area","₹ 2.5 Cr
₹ 13,888/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector-23 Kharghar,"1,200 sq.ft.
(111 sq.m.) Super built-up Area","₹ 1.65 Cr
₹ 13,750/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-6 Kharghar,"1,150 sq.ft.
(107 sq.m.) Super built-up Area","₹ 1.18 Cr
₹ 10,260/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Nerul,"1,120 sq.ft.
(104 sq.m.) Super built-up Area","₹ 2 Cr
₹ 17,857/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-6 Kharghar,"11,194 sq.ft.
(1040 sq.m.) Carpet Area","₹ 1.8 Cr
₹ 1,608/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector 12 Kharghar,"1,760 sq.ft.
(164 sq.m.) Super built-up Area","₹ 1.95 Cr
₹ 11,079/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 20 Kharghar,"1,000 sq.ft.
(93 sq.m.) Super built-up Area","₹ 1.05 Cr
₹ 10,500/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"1,110 sq.ft.
(103 sq.m.) Super built-up Area","₹ 88 L
₹ 7,927/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Taloja Panchanand,"690 sq.ft.
(64 sq.m.) Super built-up Area","₹ 50 L
₹ 7,246/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 10 Kharghar,"1,050 sq.ft.
(98 sq.m.) Super built-up Area","₹ 1 Cr
₹ 9,523/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-6 Kharghar,"1,500 sq.ft.
(139 sq.m.) Super built-up Area","₹ 2.15 Cr
₹ 14,333/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector-35G Kharghar,"1,145 sq.ft.
(106 sq.m.) Super built-up Area","₹ 1.1 Cr
₹ 9,606/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 2 Kharghar,"1,195 sq.ft.
(111 sq.m.) Super built-up Area","₹ 1.31 Cr
₹ 10,962/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector 10 Kharghar,"1,500 sq.ft.
(139 sq.m.) Super built-up Area","₹ 1.56 Cr
₹ 15,445/sq.ft.","3 BHK
2 Baths"
3 BHK Apartment in Sector 15 Kharghar,"1,705 sq.ft.
(158 sq.m.) Super built-up Area","₹ 1.75 Cr
₹ 10,263/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 15 Kharghar,"1,251 sq.ft.
(116 sq.m.) Super built-up Area","₹ 1.3 Cr
₹ 10,391/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-35G Kharghar,"675 sq.ft.
(63 sq.m.) Super built-up Area","₹ 67 L
₹ 9,925/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 2 Kharghar,"1,100 sq.ft.
(102 sq.m.) Super built-up Area","₹ 1.3 Cr
₹ 11,818/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 15 Belapur,"715 sq.ft.
(66 sq.m.) Carpet Area","₹ 1.28 Cr
₹ 17,902/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 20 Kamothe,"1,293 sq.ft.
(120 sq.m.) Super built-up Area","₹ 90 L
₹ 6,960/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-35 Kamothe,"2,200 sq.ft.
(204 sq.m.) Super built-up Area","₹ 90 L
₹ 4,090/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector 15 Belapur,"1,050 sq.ft.
(98 sq.m.) Carpet Area","₹ 1.7 Cr
₹ 16,190/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 34 Kamothe,"1,100 sq.ft.
(102 sq.m.) Super built-up Area","₹ 76 L
₹ 6,909/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 18 Kamothe,"670 sq.ft.
(62 sq.m.) Super built-up Area","₹ 59 L
₹ 8,805/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 21 Kamothe,"780 sq.ft.
(72 sq.m.) Built-up Area","₹ 58 L
₹ 7,435/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-14 Koparkhairane,"1,150 sq.ft.
(107 sq.m.) Super built-up Area","₹ 1.75 Cr
₹ 15,217/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Seawoods,"1,070 sq.ft.
(99 sq.m.) Super built-up Area","₹ 1.18 Cr
₹ 11,028/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-14 Koparkhairane,"1,150 sq.ft.
(107 sq.m.) Super built-up Area","₹ 1.85 Cr
₹ 16,086/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-50 Seawoods,"815 sq.ft.
(76 sq.m.) Carpet Area","₹ 1.2 Cr
₹ 14,723/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in New Sector-50 Nerul,"775 sq.ft.
(72 sq.m.) Carpet Area","₹ 1.25 Cr
₹ 16,129/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in New Sector-50 Nerul,"660 sq.ft.
(61 sq.m.) Carpet Area","₹ 1.2 Cr
₹ 18,181/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Nerul,"450 sq.ft.
(42 sq.m.) Carpet Area","₹ 80 L
₹ 17,777/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 30A Vashi,"595 sq.ft.
(55 sq.m.) Built-up Area","₹ 88 L
₹ 14,789/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector 7 Kharghar,"956 sq.ft.
(89 sq.m.) Carpet Area","₹ 1.9 Cr
₹ 19,874/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Belapur,"1,525 sq.ft.
(142 sq.m.) Super built-up Area","₹ 1.8 Cr
₹ 11,803/sq.ft.","3 BHK
2 Baths"
2 BHK Apartment in Sector 8 Airoli,"900 sq.ft.
(84 sq.m.) Super built-up Area","₹ 1.1 Cr
₹ 12,222/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector 7 Kharghar,"1,335 sq.ft.
(124 sq.m.) Super built-up Area","₹ 1.9 Cr
₹ 14,232/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 8 Airoli,"805 sq.ft.
(75 sq.m.) Super built-up Area","₹ 1.2 Cr
₹ 14,906/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-15 Ghansoli,"710 sq.ft.
(66 sq.m.) Super built-up Area","₹ 77 L
₹ 10,845/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 21 Ghansoli,"925 sq.ft.
(86 sq.m.) Super built-up Area","₹ 80 L
₹ 8,648/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 20 Ulwe,"430 sq.ft.
(40 sq.m.) Carpet Area","₹ 65 L
₹ 15,116/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Ulwe,"1,200 sq.ft.
(111 sq.m.) Super built-up Area","₹ 95 L
₹ 7,916/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Ulwe,"870 sq.ft.
(81 sq.m.) Carpet Area","₹ 95 L
₹ 10,919/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Kharghar,"1,130 sq.ft.
(105 sq.m.) Carpet Area","₹ 2.25 Cr
₹ 19,911/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 19 Kharghar,"1,365 sq.ft.
(127 sq.m.) Super built-up Area","₹ 95 L
₹ 6,959/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-6 Kharghar,"1,950 sq.ft.
(181 sq.m.) Super built-up Area","₹ 2.25 Cr
₹ 11,538/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Kharghar,"1,200 sq.ft.
(111 sq.m.) Super built-up Area","₹ 95 L
₹ 7,916/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 20 Kharghar,"1,250 sq.ft.
(116 sq.m.) Super built-up Area","₹ 1.11 Cr
₹ 9,680/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 12 Kharghar,"1,100 sq.ft.
(102 sq.m.) Super built-up Area","₹ 85 L
₹ 7,727/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Nerul,"860 sq.ft.
(80 sq.m.) Carpet Area","₹ 2.15 Cr
₹ 25,000/sq.ft.","3 BHK
2 Baths"
1 BHK Apartment in Sector 19 Kharghar,"650 sq.ft.
(60 sq.m.) Super built-up Area","₹ 51.51 L
₹ 7,924/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 19 Kharghar,"1,092 sq.ft.
(101 sq.m.) Super built-up Area","₹ 1.3 Cr
₹ 11,904/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Kamothe,"450 sq.ft.
(42 sq.m.) Carpet Area","₹ 52 L
₹ 11,555/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 36 Kharghar,"385 sq.ft.
(36 sq.m.) Carpet Area","₹ 39 L
₹ 10,129/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector 12 Vashi,"1,450 sq.ft.
(135 sq.m.) Built-up Area","₹ 2.8 Cr
₹ 19,310/sq.ft.","3 BHK
3 Baths"
4 BHK Apartment in Sanpada,"2,500 sq.ft.
(232 sq.m.) Built-up Area","₹ 2.8 Cr
₹ 11,200/sq.ft.","4 BHK
4 Baths"
2 BHK Apartment in Sanpada,"999 sq.ft.
(93 sq.m.) Built-up Area","₹ 1.25 Cr
₹ 12,512/sq.ft.","2 BHK
2 Baths"
4 BHK Apartment in Sector 11 Koparkhairane,"2,200 sq.ft.
(204 sq.m.) Super built-up Area","₹ 3.2 Cr
₹ 19,370/sq.ft.","4 BHK
4 Baths"
3 BHK Apartment in Ulwe,"1,412 sq.ft.
(131 sq.m.) Super built-up Area","₹ 1.33 Cr
₹ 9,383/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Ulwe,"1,090 sq.ft.
(101 sq.m.) Super built-up Area","₹ 75 L
₹ 6,880/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 8 Airoli,"975 sq.ft.
(91 sq.m.) Super built-up Area","₹ 1.2 Cr
₹ 12,307/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 5 Ulwe,"1,290 sq.ft.
(120 sq.m.) Super built-up Area","₹ 1.05 Cr
₹ 8,139/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector 14 Vashi,"2,220 sq.ft.
(206 sq.m.) Super built-up Area","₹ 3.51 Cr
₹ 15,810/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector-3 Ulwe,"1,585 sq.ft.
(147 sq.m.) Super built-up Area","₹ 1.32 Cr
₹ 8,328/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Kalamboli,"1,600 sq.ft.
(149 sq.m.) Built-up Area","₹ 1.19 Cr
₹ 7,437/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Airoli,"1,680 sq.ft.
(156 sq.m.) Super built-up Area","₹ 2 Cr
₹ 11,904/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector 8 Airoli,"1,450 sq.ft.
(135 sq.m.) Super built-up Area","₹ 1.6 Cr
₹ 11,034/sq.ft.","3 BHK
2 Baths"
3 BHK Apartment in Sector-14 Airoli,"1,650 sq.ft.
(153 sq.m.) Super built-up Area","₹ 1.7 Cr
₹ 10,303/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Sector-35D Kharghar,"675 sq.ft.
(63 sq.m.) Super built-up Area","₹ 60 L
₹ 8,888/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 5 Ghansoli,"1,550 sq.ft.
(144 sq.m.) Built-up Area","₹ 1.05 Cr
₹ 6,774/sq.ft.","2 BHK
2 Baths"
